p,Result
0.05,20.9996012408
0.1,10.9999073861
0.15,7.66662677251
0.2,5.99997661597
0.25,4.99998727213
0.3,4.33332449423
0.35,3.85713588554
0.4,3.49999573546
0.45,3.22221985014
0.5,2.99999809265
